Number,ID
2,AID01101
3,AID01102
4,AID01103
5,AID01104
6,AID01105
7,AID01106
8,AID01107
9,AID01108
10,AID01109
11,AID01110
12,AID01111
13,AID01112
14,AID01113
15,AID01114
16,AID01115
17,AID01116
18,AID01117
19,AID01118
20,AID01119
21,AID01120
22,AID01121
23,AID01122
24,AID01123
25,AID01124
26,AID01125
27,AID01126
28,AID01127
29,AID01128
30,AID01129
31,AID01130
32,AID01131
33,AID01132
34,AID01133
35,AID01134
36,AID01135
37,AID01136
38,AID01201
39,AID01202
40,AID01203
41,AID01204
42,AID01205
43,AID01206
44,AID01207
45,AID01208
46,AID01209
47,AID01210
48,AID01211
49,AID01212
50,AID01213
51,AID01214
52,AID01215
53,AID01216
54,AID01217
55,AID01218
56,AID01219
57,AID01220
58,AID01221
59,AID01222
60,AID01223
61,AID02104
62,AID02105
63,AID02106
64,AID02107
65,AID02108
66,AID02109
67,AID02110
68,AID02111
69,AID02112
70,AID02113
71,AID02114
72,AID02115
73,AID02116
74,AID02117
75,AID02118
76,AID02119
77,AID02120
78,AID02121
79,AID02122
80,AID02123
81,AID02124
82,AID02125
83,AID02126
84,AID02127
85,AID02201
86,AID02202
87,AID02203
88,AID02204
89,AID02205
90,AID02206
91,AID02207
92,AID02208
93,AID02209
94,AID02210
95,AID02211
96,AID02212
97,AID02213
98,AID02214
99,AID02215
100,AID03101
101,AID03102
102,AID03103
103,AID03104
104,AID03106
105,AID03107
106,AID03108
107,AID03109
108,AID03110
109,AID03111
110,AID03112
111,AID03113
112,AID03114
113,AID03115
114,AID03116
115,AID03117
116,AID03118
117,AID03119
118,AID03120
119,AID03121
120,AID03122
121,AID03123
122,AID03124
123,AID03125
124,AID03201
125,AID03202
126,AID03203
127,AID03204
128,AID03205
129,AID03206
130,AID03207
131,AID03208
132,AID03209
133,AID03210
134,AID03211
135,AID04101
136,AID04102
137,AID04103
138,AID04104
139,AID04105
140,AID04106
141,AID04107
142,AID04108
143,AID04109
144,AID04110
145,AID04111
146,AID04112
147,AID04113
148,AID04114
149,AID04115
150,AID04116
151,AID04117
152,AID04118
153,AID04119
154,AID04120
155,AID04121
156,AID04122
157,AID04201
158,AID04202
159,AID04203
160,AID04204
161,AID04205
162,AID04206
163,AID04207
164,AID04208
165,AID04209
166,AID04210
167,AID04211
168,AID04212
169,AID04213
170,AID04214
171,AID04215
172,AID04216
173,AID04217
