node_id,AID_ID_Number,Latitude,Longitude,District,Direction,Lane_Num,Road_EN,Road_TC,Road_SC,is_virtual
2,AID01101,22.248091,114.152525,Southern,South East,3,Aberdeen Praya Road near Abba House - Eastbound ,香港仔海旁道近福群大樓 - 東行 ,香港仔海旁道近福群大楼 - 东行 ,0
3,AID01102,22.24712681,114.1577149,Southern,North East,3,Aberdeen Praya Road near Hoi Fai Mansion - Eastbound ,香港仔海旁道近海暉大廈 - 東行 ,香港仔海旁道近海晖大厦 - 东行 ,0
4,AID01103,22.24863539,114.1621481,Southern,South East,3,Wong Chuk Hang Road near Aberdeen Technical School - Eastbound ,黃竹坑道近香港仔工業學校 - 東行 ,黄竹坑道近香港仔工业学校 - 东行 ,0
5,AID01104,22.24837379,114.1658151,Southern,North East,2,Wong Chuk Hang Road Flyover near AXA Southside - Eastbound ,黃竹坑道行車天橋近安盛匯 - 東行 ,黄竹坑道行车天桥近安盛汇 - 东行 ,0
6,AID01105,22.2496834,114.1686381,Southern,North East,2,Wong Chuk Hang Road Flyover near Benefit Industrial Factory Building - Eastbound ,黃竹坑道行車天橋近本利發工業大廈 - 東行 ,黄竹坑道行车天桥近本利发工业大厦 - 东行 ,0
7,AID01106,22.25044211,114.1718782,Southern,South East,2,Wong Chuk Hang Road near Hong Kong Academy of Medicine - Eastbound ,黃竹坑道近香港醫學專科學院 - 東行 ,黄竹坑道近香港医学专科学院 - 东行 ,0
8,AID01107,22.24999065,114.1762923,Southern,South East,2,Aberdeen Tunnel near Wong Chuk Hang Hospital - Eastbound ,香港仔隧道近黃竹坑醫院 - 東行 ,香港仔隧道近黄竹坑医院 - 东行 ,0
9,AID01108,22.27186288,114.1801247,Wan Chai,North West,2,Wong Nai Chung Gap Flyover near Racecourse - Northbound ,黃泥涌峽天橋近馬場 - 北行 ,黄泥涌峡天桥近马场 - 北行 ,0
10,AID01109,22.27659491,114.1810758,Wan Chai,North,3,Canal Road Flyover near Cricket Club - Northbound ,堅拿道天橋近木球會 - 北行 ,坚拿道天桥近木球会 - 北行 ,0
11,AID01110,22.279356,114.181217,Wan Chai,North West,3,Canal Road Flyover near Wan Chai Fire Station - Northbound ,堅拿道天橋近灣仔消防局 - 北行 ,坚拿道天桥近湾仔消防局 - 北行 ,0
