detector_id,AID_ID_Number,Lane_Num,District,Road_EN,Road_TC,Road_SC,Easting,Northing,Latitude,Longitude,Direction,Rotation,connection1,distance1,connection2,distance2,connection3,distance3,connection4,distance4,connection5,distance5
2,AID01101,3,Southern,Aberdeen Praya Road near Abba House - Eastbound ,香港仔海旁道近福群大樓 - 東行 ,香港仔海旁道近福群大楼 - 东行 ,833758,812147,22.248091,114.152525,South East,100,3,,,,,,,,,
3,AID01102,3,Southern,Aberdeen Praya Road near Hoi Fai Mansion - Eastbound ,香港仔海旁道近海暉大廈 - 東行 ,香港仔海旁道近海晖大厦 - 东行 ,834293,812041,22.24712681,114.1577149,North East,60,4,,,,,,,,,
4,AID01103,3,Southern,Wong Chuk Hang Road near Aberdeen Technical School - Eastbound ,黃竹坑道近香港仔工業學校 - 東行 ,黄竹坑道近香港仔工业学校 - 东行 ,834750,812208,22.24863539,114.1621481,South East,80,5,,,,,,,,,
5,AID01104,2,Southern,Wong Chuk Hang Road Flyover near AXA Southside - Eastbound ,黃竹坑道行車天橋近安盛匯 - 東行 ,黄竹坑道行车天桥近安盛汇 - 东行 ,835128,812179,22.24837379,114.1658151,North East,60,6,,,,,,,,,
6,AID01105,2,Southern,Wong Chuk Hang Road Flyover near Benefit Industrial Factory Building - Eastbound ,黃竹坑道行車天橋近本利發工業大廈 - 東行 ,黄竹坑道行车天桥近本利发工业大厦 - 东行 ,835419,812324,22.2496834,114.1686381,North East,50,7,,,,,,,,,
7,AID01106,2,Southern,Wong Chuk Hang Road near Hong Kong Academy of Medicine - Eastbound ,黃竹坑道近香港醫學專科學院 - 東行 ,黄竹坑道近香港医学专科学院 - 东行 ,835753,812408,22.25044211,114.1718782,South East,100,8,,,,,,,,,
8,AID01107,2,Southern,Aberdeen Tunnel near Wong Chuk Hang Hospital - Eastbound ,香港仔隧道近黃竹坑醫院 - 東行 ,香港仔隧道近黄竹坑医院 - 东行 ,836208,812358,22.24999065,114.1762923,South East,60,938,,,,,,,,,
9,AID01108,2,Wan Chai,Wong Nai Chung Gap Flyover near Racecourse - Northbound ,黃泥涌峽天橋近馬場 - 北行 ,黄泥涌峡天桥近马场 - 北行 ,836603,814780,22.27186288,114.1801247,North West,320,10,,,,,,,,,
10,AID01109,3,Wan Chai,Canal Road Flyover near Cricket Club - Northbound ,堅拿道天橋近木球會 - 北行 ,坚拿道天桥近木球会 - 北行 ,836701,815304,22.27659491,114.1810758,North,0,11,,,,,,,,,
11,AID01110,3,Wan Chai,Canal Road Flyover near Wan Chai Fire Station - Northbound ,堅拿道天橋近灣仔消防局 - 北行 ,坚拿道天桥近湾仔消防局 - 北行 ,836715,815609,22.279356,114.181217,North West,300,986,,660,,others,,,,,
12,AID01111,4,Kowloon City,Hong Chong Road near The Hong Kong Polytechnic University - Northbound (1) ,康莊道近香港理工大學 - 北行（1）,康庄道近香港理工大学 - 北行（1）,836693,818352,22.30412026,114.1809989,East,80,13,,,,,,,,,
