detector_id,time_window,time_step,total_volume,avg_speed
AID01101,2026/6/6 10:42,64,12,52.666666666666664
AID01102,2026/6/6 10:42,64,16,58.0
AID01103,2026/6/6 10:42,64,16,54.666666666666664
AID01104,2026/6/6 10:42,64,11,53.5
AID01106,2026/6/6 10:42,64,13,34.0
AID01107,2026/6/6 10:42,64,10,48.0
AID01108,2026/6/6 10:42,64,10,60.5
AID01110,2026/6/6 10:42,64,17,35.666666666666664
AID01113,2026/6/6 10:42,64,8,59.333333333333336
AID01114,2026/6/6 10:42,64,12,64.66666666666667
AID01115,2026/6/6 10:42,64,15,49.666666666666664
AID01116,2026/6/6 10:42,64,5,68.5
AID01117,2026/6/6 10:42,64,16,44.25
AID01118,2026/6/6 10:42,64,19,22.333333333333332
AID01120,2026/6/6 10:42,64,18,44.666666666666664
AID01121,2026/6/6 10:42,64,5,53.0
AID01122,2026/6/6 10:42,64,4,65.0
AID01123,2026/6/6 10:42,64,21,29.5
AID01124,2026/6/6 10:42,64,17,54.5
AID01125,2026/6/6 10:42,64,14,55.5
AID01126,2026/6/6 10:42,64,7,84.0
AID01127,2026/6/6 10:42,64,15,62.5
AID01128,2026/6/6 10:42,64,22,72.0
AID01129,2026/6/6 10:42,64,12,64.0
AID01132,2026/6/6 10:42,64,8,76.66666666666667
AID01133,2026/6/6 10:42,64,4,70.0
AID01134,2026/6/6 10:42,64,6,65.0
AID01135,2026/6/6 10:42,64,4,78.5
AID01136,2026/6/6 10:42,64,4,70.0
AID01201,2026/6/6 10:42,64,16,39.5
AID01202,2026/6/6 10:42,64,14,47.5
AID01203,2026/6/6 10:42,64,19,50.0
AID01204,2026/6/6 10:42,64,25,28.333333333333332
AID01205,2026/6/6 10:42,64,20,37.0
AID01206,2026/6/6 10:42,64,19,23.0
AID01207,2026/6/6 10:42,64,27,49.0
AID01208,2026/6/6 10:42,64,21,53.0
AID01209,2026/6/6 10:42,64,27,48.0
AID01210,2026/6/6 10:42,64,24,49.0
AID01211,2026/6/6 10:42,64,20,42.0
AID01212,2026/6/6 10:42,64,13,55.666666666666664
AID01214,2026/6/6 10:42,64,17,16.0
AID01215,2026/6/6 10:42,64,11,46.5
AID01216,2026/6/6 10:42,64,3,70.0
AID01217,2026/6/6 10:42,64,13,62.75
AID01218,2026/6/6 10:42,64,9,60.5
AID01219,2026/6/6 10:42,64,14,58.0
AID01221,2026/6/6 10:42,64,5,34.666666666666664
AID01222,2026/6/6 10:42,64,10,45.333333333333336
AID01223,2026/6/6 10:42,64,15,52.0
AID02104,2026/6/6 10:42,64,5,82.5
AID02105,2026/6/6 10:42,64,8,63.5
AID02106,2026/6/6 10:42,64,18,61.333333333333336
AID02107,2026/6/6 10:42,64,16,65.66666666666667
AID02108,2026/6/6 10:42,64,17,27.666666666666668
AID02109,2026/6/6 10:42,64,24,25.333333333333332
AID02110,2026/6/6 10:42,64,24,31.666666666666668
AID02111,2026/6/6 10:42,64,20,32.333333333333336
AID02112,2026/6/6 10:42,64,8,77.0
AID02113,2026/6/6 10:42,64,10,71.0
AID02114,2026/6/6 10:42,64,12,69.0
AID02115,2026/6/6 10:42,64,17,60.0
AID02116,2026/6/6 10:42,64,6,70.5
AID02117,2026/6/6 10:42,64,8,65.5
AID02118,2026/6/6 10:42,64,14,64.2
AID02119,2026/6/6 10:42,64,10,63.5
AID02120,2026/6/6 10:42,64,12,68.0
AID02121,2026/6/6 10:42,64,9,77.66666666666667
AID02122,2026/6/6 10:42,64,17,73.0
AID02123,2026/6/6 10:42,64,12,80.0
AID02124,2026/6/6 10:42,64,8,68.5
AID02125,2026/6/6 10:42,64,3,75.5
AID02126,2026/6/6 10:42,64,23,75.0
AID02127,2026/6/6 10:42,64,9,85.5
AID02202,2026/6/6 10:42,64,11,84.5
AID02203,2026/6/6 10:42,64,8,58.5
AID02204,2026/6/6 10:42,64,14,56.0
AID02205,2026/6/6 10:42,64,12,67.0
AID02206,2026/6/6 10:42,64,8,76.5
AID02207,2026/6/6 10:42,64,21,66.33333333333333
AID02208,2026/6/6 10:42,64,27,44.666666666666664
AID02209,2026/6/6 10:42,64,29,65.33333333333333
AID02210,2026/6/6 10:42,64,26,54.333333333333336
AID02211,2026/6/6 10:42,64,15,50.666666666666664
AID02212,2026/6/6 10:42,64,17,63.0
AID02213,2026/6/6 10:42,64,20,67.0
AID02214,2026/6/6 10:42,64,21,63.75
AID02215,2026/6/6 10:42,64,14,61.5
AID03101,2026/6/6 10:42,64,10,67.0
AID03102,2026/6/6 10:42,64,0,50.0
AID03103,2026/6/6 10:42,64,9,80.5
AID03104,2026/6/6 10:42,64,3,44.0
AID03106,2026/6/6 10:42,64,11,87.0
AID03107,2026/6/6 10:42,64,10,73.66666666666667
AID03108,2026/6/6 10:42,64,20,66.66666666666667
AID03109,2026/6/6 10:42,64,28,72.33333333333333
AID03110,2026/6/6 10:42,64,22,77.0
AID03111,2026/6/6 10:42,64,24,79.66666666666667
AID03112,2026/6/6 10:42,64,21,77.66666666666667
AID03113,2026/6/6 10:42,64,11,70.66666666666667
AID03114,2026/6/6 10:42,64,20,77.66666666666667
AID03115,2026/6/6 10:42,64,11,79.33333333333333
AID03116,2026/6/6 10:42,64,5,77.66666666666667
AID03117,2026/6/6 10:42,64,8,101.66666666666667
AID03118,2026/6/6 10:42,64,16,87.66666666666667
AID03119,2026/6/6 10:42,64,18,93.0
AID03120,2026/6/6 10:42,64,15,81.0
AID03121,2026/6/6 10:42,64,8,89.66666666666667
AID03122,2026/6/6 10:42,64,12,92.33333333333333
AID03123,2026/6/6 10:42,64,15,110.0
AID03124,2026/6/6 10:42,64,4,116.5
AID03125,2026/6/6 10:42,64,5,120.5
AID03201,2026/6/6 10:42,64,15,75.0
AID03202,2026/6/6 10:42,64,40,70.0
AID03203,2026/6/6 10:42,64,26,72.66666666666667
AID03204,2026/6/6 10:42,64,17,66.66666666666667
AID03205,2026/6/6 10:42,64,35,42.333333333333336
AID03206,2026/6/6 10:42,64,26,38.0
AID03207,2026/6/6 10:42,64,23,41.666666666666664
AID03208,2026/6/6 10:42,64,24,51.666666666666664
AID03209,2026/6/6 10:42,64,27,58.333333333333336
AID03210,2026/6/6 10:42,64,18,64.0
AID03211,2026/6/6 10:42,64,30,60.0
AID04101,2026/6/6 10:42,64,9,53.333333333333336
AID04102,2026/6/6 10:42,64,6,82.5
AID04103,2026/6/6 10:42,64,4,67.0
AID04104,2026/6/6 10:42,64,15,61.5
AID04105,2026/6/6 10:42,64,27,54.333333333333336
AID04106,2026/6/6 10:42,64,11,57.666666666666664
AID04107,2026/6/6 10:42,64,24,50.0
AID04108,2026/6/6 10:42,64,12,59.5
AID04109,2026/6/6 10:42,64,9,62.0
AID04110,2026/6/6 10:42,64,17,55.8
AID04111,2026/6/6 10:42,64,18,48.0
AID04112,2026/6/6 10:42,64,12,54.0
AID04113,2026/6/6 10:42,64,12,63.333333333333336
AID04114,2026/6/6 10:42,64,15,64.33333333333333
AID04115,2026/6/6 10:42,64,14,48.5
AID04116,2026/6/6 10:42,64,9,52.0
AID04117,2026/6/6 10:42,64,7,49.0
AID04118,2026/6/6 10:42,64,2,77.5
AID04119,2026/6/6 10:42,64,4,58.0
AID04120,2026/6/6 10:42,64,4,94.5
AID04121,2026/6/6 10:42,64,8,69.5
AID04122,2026/6/6 10:42,64,10,59.666666666666664
AID04201,2026/6/6 10:42,64,0,50.0
AID04202,2026/6/6 10:42,64,3,62.0
AID04203,2026/6/6 10:42,64,13,58.666666666666664
