detector_id,time_window,time_step,total_volume,avg_speed
AID01101,2026/6/6 10:41,64,5,66.66666666666667
AID01102,2026/6/6 10:41,64,8,60.333333333333336
AID01103,2026/6/6 10:41,64,16,64.0
AID01104,2026/6/6 10:41,64,11,53.5
AID01106,2026/6/6 10:41,64,9,32.5
AID01107,2026/6/6 10:41,64,9,45.5
AID01108,2026/6/6 10:41,64,8,64.0
AID01110,2026/6/6 10:41,64,26,34.0
AID01113,2026/6/6 10:41,64,14,51.0
AID01114,2026/6/6 10:41,64,19,53.0
AID01115,2026/6/6 10:41,64,13,56.333333333333336
AID01116,2026/6/6 10:41,64,9,54.0
AID01117,2026/6/6 10:41,64,22,41.25
AID01118,2026/6/6 10:41,64,14,27.0
AID01120,2026/6/6 10:41,64,8,44.333333333333336
AID01121,2026/6/6 10:41,64,12,47.5
AID01122,2026/6/6 10:41,64,13,59.5
AID01123,2026/6/6 10:41,64,15,39.0
AID01124,2026/6/6 10:41,64,18,62.5
AID01125,2026/6/6 10:41,64,9,69.5
AID01126,2026/6/6 10:41,64,15,62.0
AID01127,2026/6/6 10:41,64,20,53.5
AID01128,2026/6/6 10:41,64,18,77.5
AID01129,2026/6/6 10:41,64,5,67.5
AID01132,2026/6/6 10:41,64,4,73.66666666666667
AID01133,2026/6/6 10:41,64,1,76.5
AID01134,2026/6/6 10:41,64,3,76.0
AID01135,2026/6/6 10:41,64,4,81.0
AID01136,2026/6/6 10:41,64,12,71.0
AID01201,2026/6/6 10:41,64,18,45.5
AID01202,2026/6/6 10:41,64,17,45.0
AID01203,2026/6/6 10:41,64,16,53.5
AID01204,2026/6/6 10:41,64,14,19.333333333333332
AID01205,2026/6/6 10:41,64,25,31.0
AID01206,2026/6/6 10:41,64,23,30.0
AID01207,2026/6/6 10:41,64,16,40.5
AID01208,2026/6/6 10:41,64,17,53.0
AID01209,2026/6/6 10:41,64,17,48.0
AID01210,2026/6/6 10:41,64,29,44.333333333333336
AID01211,2026/6/6 10:41,64,15,39.666666666666664
AID01212,2026/6/6 10:41,64,13,51.0
AID01214,2026/6/6 10:41,64,27,20.0
AID01215,2026/6/6 10:41,64,16,54.5
AID01216,2026/6/6 10:41,64,8,58.0
AID01217,2026/6/6 10:41,64,14,64.0
AID01218,2026/6/6 10:41,64,13,44.5
AID01219,2026/6/6 10:41,64,9,60.5
AID01221,2026/6/6 10:41,64,26,44.333333333333336
AID01222,2026/6/6 10:41,64,13,52.333333333333336
AID01223,2026/6/6 10:41,64,16,50.333333333333336
AID02104,2026/6/6 10:41,64,4,82.5
AID02105,2026/6/6 10:41,64,4,60.0
AID02106,2026/6/6 10:41,64,17,60.0
AID02107,2026/6/6 10:41,64,17,71.66666666666667
AID02108,2026/6/6 10:41,64,15,35.666666666666664
AID02109,2026/6/6 10:41,64,21,21.666666666666668
AID02110,2026/6/6 10:41,64,28,35.666666666666664
AID02111,2026/6/6 10:41,64,21,39.0
AID02112,2026/6/6 10:41,64,12,66.0
AID02113,2026/6/6 10:41,64,14,70.0
AID02114,2026/6/6 10:41,64,12,65.0
AID02115,2026/6/6 10:41,64,9,59.5
AID02116,2026/6/6 10:41,64,6,73.5
AID02117,2026/6/6 10:41,64,7,78.5
AID02118,2026/6/6 10:41,64,7,71.8
AID02119,2026/6/6 10:41,64,5,72.5
AID02120,2026/6/6 10:41,64,16,67.75
AID02121,2026/6/6 10:41,64,10,79.33333333333333
AID02122,2026/6/6 10:41,64,6,64.66666666666667
AID02123,2026/6/6 10:41,64,14,89.66666666666667
AID02124,2026/6/6 10:41,64,6,79.5
AID02125,2026/6/6 10:41,64,9,68.5
AID02126,2026/6/6 10:41,64,16,63.0
AID02127,2026/6/6 10:41,64,9,70.0
AID02202,2026/6/6 10:41,64,10,71.5
