detector_id,time_window,time_step,total_volume,avg_speed
AID01101,2026-04-18 00:42:30,4,0,70.0
AID01102,2026-04-18 00:42:30,4,1,88.0
AID01103,2026-04-18 00:42:30,4,2,71.0
AID01104,2026-04-18 00:42:30,4,0,50.0
AID01106,2026-04-18 00:42:30,4,3,50.0
AID01107,2026-04-18 00:42:30,4,2,67.0
AID01108,2026-04-18 00:42:30,4,1,55.0
AID01109,2026-04-18 00:42:30,4,4,65.0
AID01110,2026-04-18 00:42:30,4,1,67.0
AID01113,2026-04-18 00:42:30,4,10,73.0
AID01114,2026-04-18 00:42:30,4,4,76.0
AID01115,2026-04-18 00:42:30,4,2,64.0
AID01117,2026-04-18 00:42:30,4,5,63.0
AID01118,2026-04-18 00:42:30,4,3,78.0
AID01120,2026-04-18 00:42:30,4,10,60.0
AID01121,2026-04-18 00:42:30,4,3,66.0
AID01122,2026-04-18 00:42:30,4,0,50.0
AID01123,2026-04-18 00:42:30,4,11,47.0
AID01124,2026-04-18 00:42:30,4,5,87.0
AID01125,2026-04-18 00:42:30,4,4,79.0
AID01126,2026-04-18 00:42:30,4,4,96.0
AID01127,2026-04-18 00:42:30,4,4,116.0
AID01128,2026-04-18 00:42:30,4,5,81.0
AID01129,2026-04-18 00:42:30,4,0,80.0
AID01130,2026-04-18 00:42:30,4,3,36.0
AID01132,2026-04-18 00:42:30,4,2,75.0
AID01133,2026-04-18 00:42:30,4,2,75.0
AID01134,2026-04-18 00:42:30,4,1,126.0
AID01135,2026-04-18 00:42:30,4,2,73.0
AID01136,2026-04-18 00:42:30,4,1,98.0
AID01201,2026-04-18 00:42:30,4,2,62.0
AID01202,2026-04-18 00:42:30,4,1,62.0
AID01203,2026-04-18 00:42:30,4,6,71.0
AID01204,2026-04-18 00:42:30,4,1,37.0
AID01205,2026-04-18 00:42:30,4,5,38.0
AID01206,2026-04-18 00:42:30,4,4,59.0
AID01207,2026-04-18 00:42:30,4,4,76.0
AID01208,2026-04-18 00:42:30,4,4,67.0
AID01209,2026-04-18 00:42:30,4,4,67.0
AID01210,2026-04-18 00:42:30,4,1,77.0
AID01211,2026-04-18 00:42:30,4,4,78.0
AID01212,2026-04-18 00:42:30,4,2,85.0
AID01214,2026-04-18 00:42:30,4,0,50.0
AID01215,2026-04-18 00:42:30,4,1,99.0
AID01216,2026-04-18 00:42:30,4,2,72.0
AID01217,2026-04-18 00:42:30,4,2,107.0
AID01218,2026-04-18 00:42:30,4,2,99.0
AID01219,2026-04-18 00:42:30,4,2,92.0
AID01221,2026-04-18 00:42:30,4,0,50.0
AID01222,2026-04-18 00:42:30,4,0,70.0
AID01223,2026-04-18 00:42:30,4,0,70.0
AID02104,2026-04-18 00:42:30,4,0,70.0
AID02105,2026-04-18 00:42:30,4,0,70.0
AID02106,2026-04-18 00:42:30,4,1,70.0
AID02107,2026-04-18 00:42:30,4,1,83.0
AID02108,2026-04-18 00:42:30,4,1,115.0
AID02109,2026-04-18 00:42:30,4,0,80.0
AID02110,2026-04-18 00:42:30,4,0,80.0
AID02111,2026-04-18 00:42:30,4,0,80.0
AID02112,2026-04-18 00:42:30,4,0,80.0
AID02113,2026-04-18 00:42:30,4,0,80.0
AID02114,2026-04-18 00:42:30,4,1,88.0
AID02115,2026-04-18 00:42:30,4,2,89.0
AID02116,2026-04-18 00:42:30,4,0,70.0
AID02117,2026-04-18 00:42:30,4,0,70.0
AID02118,2026-04-18 00:42:30,4,2,78.0
AID02119,2026-04-18 00:42:30,4,3,85.0
AID02120,2026-04-18 00:42:30,4,1,118.0
AID02121,2026-04-18 00:42:30,4,1,100.0
AID02122,2026-04-18 00:42:30,4,1,114.0
AID02123,2026-04-18 00:42:30,4,0,80.0
AID02124,2026-04-18 00:42:30,4,0,80.0
AID02125,2026-04-18 00:42:30,4,1,79.0
AID02126,2026-04-18 00:42:30,4,3,102.0
AID02127,2026-04-18 00:42:30,4,2,78.0
AID02201,2026-04-18 00:42:30,4,1,91.0
AID02202,2026-04-18 00:42:30,4,2,77.0
AID02203,2026-04-18 00:42:30,4,3,98.0
AID02204,2026-04-18 00:42:30,4,0,80.0
AID02205,2026-04-18 00:42:30,4,1,115.0
AID02206,2026-04-18 00:42:30,4,4,113.0
AID02207,2026-04-18 00:42:30,4,1,79.0
